envP_inBunk,envT_inBunk,envRH_inBunk,gasT_in_102,gasT_out_105,gasRH_in_102,gasRH_out_105,IC(mC/cm2)_RE2,CURRENT_RATIO_RE2,RATE_RATIO_RE2,IC(mC/cm2)_RE4,CURRENT_RATIO_RE4,RATE_RATIO_RE4
957.048,19.0111,42.2898,21.572,19.788,51.7275,61.0593,84.3168,1.3783876428,1.470698455,7.63011,0.7773214728,0.899104976
975.935,20.8423,42.7585,22.99,22.026,39.4512,74.3322,99.4273,1.3064812066,1.5048605006,13.0423,0.7159380498,0.7670106958
954.626,21.3211,41.4298,23.468,22.586,41.7162,75.6006,105.835,1.3002342051,1.4290899479,15.5833,0.726590606,0.7974759568
968.913,21.8135,44.293,23.996,22.894,42.1692,76.5519,116.173,1.2573329136,1.3509877469,19.5392,0.725415168,0.7888884347
967.085,21.8788,38.8274,23.72,23.21,44.6607,73.5168,124.114,1.1981070278,1.2784638117,23.5504,0.696015772,0.7567548725
963.332,21.6144,32.2843,23.386,22.624,57.9336,4.9779,135.507,1.2144661522,1.3235303944,28.8298,0.7358483246,0.7937889454
962.555,21.7983,45.8242,21.546,22.158,60.8328,53.2677,168.644,1.182517469,1.2372863223,46.8678,0.7505774746,0.8074302492
952.263,22.2177,43.8085,21.768,22.434,43.8,52.7241,204.104,1.2462708364,1.3164464285,60.7562,0.7283929692,0.7446702665
958.156,22.1475,47.3337,21.824,22.416,40.5837,52.8147,212.027,1.1679514176,1.1676425286,71.3498,0.7252284605,0.8154755768
965.136,21.6524,40.9842,21.668,21.852,31.3425,51.0933,241.4,1.0989599828,1.1048256481,87.9452,0.6957790591,0.7537526435
963.948,21.4771,35.9417,22.418,21.958,55.3062,50.7762,272.188,1.1305053535,1.1584525625,107.219,0.6494235645,0.6713970921
967.485,21.4612,25.3964,22.46,21.95,49.5078,49.689,278.469,1.1057755215,1.048505963,111.495,0.6312615016,0.7011756144
954.623,21.0541,25.7725,22.018,21.978,57.5259,49.1454,301.651,1.0773794253,1.0669850023,126.111,0.6194578737,0.6593785892
962.958,20.8751,30.0308,21.694,21.702,59.8815,49.4625,306.2,1.0601443849,1.0098049286,129.677,0.6162929956,0.6458866458
947.102,20.4769,31.2879,21.174,21.008,60.3798,48.8736,310,1.0737226961,1.0242975126,131,0.619266229,0.6338462321
960.069,20.1207,35.9749,20.736,20.494,56.484,46.6992,317,1.073359638,1.0305053324,138,0.6131123843,0.6435915413
955.278,20.1034,28.871,20.808,20.416,53.6301,47.5599,323.81,1.0639446231,1.027149759,142.26,0.602767038,0.6197577902
962.503,19.7286,26.6164,20.284,20.19,54.1284,50.4138,328.29,1.0398903797,1.0069885943,145.091,0.624814112,0.6430430693
954.238,19.4805,20.7084,20.062,19.992,53.2224,47.2881,336.926,1.0326425349,1.0152508542,150.626,0.6103484275,0.6283075093
944.764,20.9233,39.8974,21.232,21.708,51.5463,49.3719,343.023,1.0815248445,1.093033245,154.582,0.6094618352,0.6307761025
952.258,20.9455,37.8121,21.61,21.788,55.0344,48.2847,345,1.073914806,1.0866922778,155,0.610774242,0.6354780861
963.931,21.4539,32.5117,21.68,21.886,46.3821,48.5565,351,1.0267934326,1.0626508563,160,0.6148621807,0.6517627092
953.43,21.8512,36.9645,22.79,22.73,47.7411,50.1873,356,0.9881831803,1.0003586147,163,0.5956613469,0.620487444
958.502,22.0606,35.7636,23.092,23.03,68.3979,50.1873,363,0.9435728781,0.8681249677,169,0.5720631166,0.5685475131
956.527,22.1071,35.966,23.116,23.132,69.3945,50.7309,370,0.9673643831,0.9084688473,173,0.5786335101,0.5765235413
961.483,22.2691,40.4624,23.154,23.06,75.057,52.1352,372,0.9844090481,0.9327292082,175,0.5815197175,0.5861051851
959.505,22.2666,51.5685,22.368,22.918,57.9336,49.9608,383,1.1181812454,1.0661034171,183,0.6165175727,0.6209178954
960.538,22.3002,51.7754,22.462,23.03,61.8294,51.5916,394,1.1267666426,1.0951461069,191,0.6048832365,0.6091017126
961.109,22.3934,47.2374,22.508,23.024,60.9687,51.3198,401,1.1296546458,1.091834406,196,0.6034113793,0.6094496249
962.995,22.5786,54.6231,22.744,23.216,65.0457,52.3164,407,1.2041144196,1.1947062388,202,0.6305629671,0.6285721463
959.197,22.8281,41.6469,23.046,23.608,59.2926,52.2711,412,1.1958774104,1.1890809737,207,0.630543636,0.6295011264
961,21.7117,62.1378,21.596,21.864,69.8475,53.313,420,1.1795848676,1.1634260732,209,0.624374712,0.6237298899
961.589,20.8783,61.1835,21.54,21.308,60.6516,57.7977,437,1.1911460856,1.2145989956,222,0.6636039687,0.6548035543
961.994,20.8469,61.7576,21.51,21.364,62.0106,56.484,442,1.2225634346,1.2211324331,226,0.6665664532,0.6527794126
962.576,20.8697,57.7332,21.518,21.436,62.2824,55.2156,449,1.1606588862,1.1624994119,231,0.638936795,0.6350635778
959.347,20.6622,58.6459,21.192,21.284,61.7388,54.0378,470,1.1262244823,1.1248172579,245,0.5786521783,0.5779664756
962.917,21.322,34.4129,22.112,22.122,60.8328,53.9019,493,1.1186177909,1.0656200095,262,0.5787354792,0.5723986175
970.147,20.7019,46.7926,21.58,21.27,61.1952,53.1318,500,1.063989383,1.0168735059,267,0.5591926944,0.536762652
960.283,21.3444,27.6065,22.15,22.236,60.5157,53.0412,510,1.0910068117,1.0274265302,272,0.5612478679,0.5455421227
981.102,20.5994,22.3452,21.366,21.332,59.6097,51.3651,531,1.0307705269,0.9556743701,286,0.5219970458,0.5208896049
973.125,20.6941,27.0301,21.618,21.672,61.6482,51.1839,534.976,1.021132874,0.9632154117,288.471,0.515933877,0.5139365955
972.921,20.842,23.442,21.31,21.57,62.373,50.4138,552.568,1.0267584894,0.9580100651,299.455,0.5142684407,0.4968294979
971.955,21.215,29.8312,21.784,21.912,61.467,49.0095,561.7,1.0415800048,0.9811729347,304.7,0.5058152733,0.4877321022
945.589,21.3983,29.6444,22.156,22.14,61.1046,50.6403,570.6,1.0416497989,0.986094917,310,0.510871057,0.4998153943
956.07,21.5208,34.9063,22.078,22.236,61.0593,50.6403,579,1.0382594366,0.9772241108,314,0.510162056,0.4959836359
963.933,21.7556,35.3134,22.39,22.432,61.2405,50.9574,585,1.0818369723,1.0182742094,318,0.5258552992,0.5159622744
951.472,22.8081,35.0078,23.64,23.618,61.3764,52.4976,593,1.1132883114,1.0550142817,322,0.532144513,0.5256050694
954.269,22.7498,34.2817,23.286,23.548,61.3764,52.4523,593,1.1475623798,1.0800318157,322,0.5553980782,0.5419028272
957.285,22.2208,40.7527,22.614,22.936,61.6482,52.1352,593,1.1199901898,1.0479397609,322,0.55988665,0.5458679289
957.285,22.2208,40.7527,22.614,22.936,61.6482,52.1352,593,1.1199901898,1.0479397609,322,0.55988665,0.5458679289
959.284,20.3597,48.7368,20.862,20.958,60.7422,52.9959,593,1.1078853427,1.0421938461,322,0.5786299585,0.5766381046
958.503,20.2556,55.3768,21.262,21.028,59.3832,52.2711,593,1.1224912979,1.0540339759,322,0.5883563406,0.5882736472
961.535,20.6069,60.9446,21.22,21,60.5157,56.8917,595,1.1641823394,1.1435663403,324,0.6327475735,0.6255584022
959.303,20.5942,61.0602,21.268,21.088,59.9268,57.2541,601,1.1562715205,1.1613965051,328,0.5882604582,0.5984801513
962.138,20.552,55.7194,21.204,21.018,61.1046,55.4421,606,1.1613988545,1.1409836835,332,0.5693303446,0.5810313553
